Date,Close,Volume,Open,High,Low
2024-03-25,172.63,74228620,168.76,175.24,168.73
2024-03-26,177.67,113186200,178.58,184.25,177.38
2024-03-27,179.83,81804040,181.41,181.91,176.0
2024-03-28,175.79,77654840,177.45,179.57,175.3
2024-04-01,175.22,81562130,176.17,176.75,170.21
2024-04-02,166.63,116650600,164.75,167.69,163.43
2024-04-03,168.38,82950140,164.02,168.82,163.28
2024-04-04,171.11,123162000,170.07,177.19,168.01
2024-04-05,164.9,143157600,169.08,170.86,160.51
2024-04-08,172.98,104423300,169.34,174.5,167.79
2024-04-09,176.88,103232700,172.91,179.22,171.92
2024-04-10,171.76,84532410,173.04,174.93,170.01
2024-04-11,174.6,94515990,172.55,175.88,168.51
2024-04-12,171.05,64722670,172.34,173.8099,170.3644
2024-04-15,161.48,100245300,170.24,170.69,161.38
2024-04-16,157.11,96999960,156.742,158.19,153.75
2024-04-17,155.45,82439720,157.64,158.33,153.78
2024-04-18,149.93,96098830,151.25,152.2,148.7
2024-04-19,147.05,87074500,148.97,150.94,146.22
2024-04-22,142.05,107097600,140.56,144.44,138.8025
2024-04-23,144.68,124545100,143.33,147.26,141.11
2024-04-24,162.13,181178000,162.84,167.97,157.51
2024-04-25,170.18,126427500,158.96,170.88,158.36
2024-04-26,168.29,109815700,168.85,172.12,166.37
2024-04-29,194.05,243869700,188.42,198.87,184.54
2024-04-30,183.28,127031800,186.98,190.95,182.8401
2024-05-01,179.99,92829720,182.0,185.86,179.01
2024-05-02,180.01,89148040,182.86,184.6,176.02
2024-05-03,181.19,75491540,182.1,184.78,178.42
2024-05-06,184.76,84390250,183.8,187.56,182.2
2024-05-07,177.81,75045850,182.4,183.26,177.4
2024-05-08,174.72,79969490,171.59,176.06,170.15
2024-05-09,171.97,65950290,175.01,175.62,171.37
2024-05-10,168.47,72627180,173.05,173.0599,167.75
2024-05-13,171.89,67018900,170.0,175.4,169.0
2024-05-14,177.55,86407420,174.496,179.49,174.07
2024-05-15,173.99,79662990,179.9,180.0,173.11
2024-05-16,174.84,59812220,174.1,175.79,171.43
2024-05-17,177.46,77445850,173.55,179.63,172.75
2024-05-20,174.95,61727430,177.56,177.754,173.52
2024-05-21,186.6,115266500,175.51,186.875,174.71
2024-05-22,180.11,88313480,182.85,183.8,178.12
2024-05-23,173.74,71975500,181.8,181.9,173.26
2024-05-24,179.24,65584480,174.835,180.08,173.73
2024-05-28,176.75,59736620,176.4,178.25,173.16
2024-05-29,176.19,54782650,174.19,178.15,173.93
2024-05-30,178.79,77784760,178.575,182.67,175.38
2024-05-31,178.08,67314600,178.5,180.32,173.82
2024-06-03,176.29,68568920,178.13,182.6389,174.49
2024-06-04,174.77,60056340,174.775,177.755,174.0
2024-06-05,175.0,57953760,175.35,176.15,172.13
2024-06-06,177.94,69887020,174.6,179.73,172.73
2024-06-07,177.48,56244930,176.13,179.35,175.58
2024-06-10,173.79,50869680,176.06,178.57,173.17
2024-06-11,170.66,64761930,173.92,174.75,167.41
2024-06-12,177.29,90389450,171.12,180.55,169.8
2024-06-13,182.47,118984100,188.39,191.08,181.23
2024-06-14,178.01,82038190,185.8,186.0,176.92
2024-06-17,187.44,109786100,177.92,188.81,177.0
2024-06-18,184.86,68982270,186.56,187.2,182.37
2024-06-20,181.57,55893140,184.68,185.21,179.66
2024-06-21,183.01,63029480,182.3,183.95,180.69
2024-06-24,182.58,61992070,184.97,188.8,182.55
2024-06-25,187.35,63678270,184.4,187.97,182.01
2024-06-26,196.37,95737070,186.54,197.755,186.36
2024-06-27,197.42,72746520,195.17,198.72,194.05
2024-06-28,197.88,95438070,199.55,203.2,195.26
2024-07-01,209.86,135691400,201.02,213.23,200.85
2024-07-02,231.26,205047900,218.89,231.3,218.06
2024-07-03,246.39,166561500,234.56,248.35,234.25
2024-07-05,251.52,154501200,249.81,252.37,242.4601
2024-07-08,252.94,157219600,247.71,259.439,244.57
2024-07-09,262.33,160742500,251.0,265.61,250.3
2024-07-10,263.26,128519400,262.8,267.59,257.86
2024-07-11,241.03,221707300,263.3,271.0,239.65
2024-07-12,248.23,155955800,235.8,251.84,233.0912
2024-07-15,252.64,146912900,255.97,265.6,251.73
2024-07-16,256.56,126332500,255.31,258.62,245.8001
2024-07-17,248.5,115584800,252.73,258.47,246.182
2024-07-18,249.23,110869000,251.09,257.14,247.2
2024-07-19,239.2,87403900,247.79,249.44,236.83
2024-07-22,251.51,101225400,244.21,253.21,243.75
2024-07-23,246.38,111928200,253.6,255.7594,245.63
2024-07-24,215.99,167942900,225.42,225.99,214.71
2024-07-25,220.25,100636500,216.8,226.0,216.231
2024-07-26,219.8,94604150,221.19,222.2799,215.33
2024-07-29,232.1,129201800,224.9,234.27,224.7
2024-07-30,222.62,100560300,232.25,232.41,220.0
2024-07-31,232.07,67497010,227.9,234.68,226.7875
2024-08-01,216.86,83861900,227.69,231.867,214.3328
2024-08-02,207.67,82880120,214.88,216.13,205.78
2024-08-05,198.88,100308800,185.22,203.8799,182.0
2024-08-06,200.64,73783940,200.75,202.9,192.67
2024-08-07,191.76,71159780,200.77,203.49,191.48
2024-08-08,198.84,65033870,195.7,200.7,192.04
2024-08-09,200.0,58648270,197.05,200.88,195.11
2024-08-12,197.49,64044900,199.02,199.26,194.67
2024-08-13,207.83,76247390,198.47,208.49,197.06
2024-08-14,201.38,70250010,207.39,208.44,198.75
